Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
129,Mr. Malcolm’s List,"Jul 1, 2022",Bleecker Street,Romantic Comedy,"$1,885,720","205,640"
130,Decision to Leave,"Oct 14, 2022",MUBI,Drama,"$1,872,361","204,183"
131,Armageddon Time,"Oct 28, 2022",Focus Features,Drama,"$1,860,050","202,840"
132,2022 Oscar Shorts,"Feb 25, 2022",ShortsHD,Multiple Genres,"$1,801,646","196,471"
133,Radhe Shyam,"Mar 11, 2022",Great India Films,Drama,"$1,800,000","196,292"
134,The King’s Daughter,"Jan 21, 2022",Gravitas Ventures,Adventure,"$1,747,263","190,541"
135,Infinite Storm,"Mar 25, 2022",Bleecker Street,Drama,"$1,600,542","174,541"
136,Jugjugg Jeeyo,"Jun 24, 2022",Moviegoers Entert…,Comedy,"$1,540,000","167,938"
137,The Duke,"Apr 22, 2022",Sony Pictures Cla…,Comedy,"$1,526,970","166,517"
138,Running The Bases,"Sep 16, 2022",UP2U Films,Drama,"$1,511,980","164,883"
139,Y Como Es El,"Apr 22, 2022",Pantelion Films,Comedy,"$1,500,636","163,646"
140,The Kashmir Files,"Mar 18, 2022",Zee Studios,Thriller/Suspense,"$1,485,000","161,941"
141,2000 Mules,"May 20, 2022",D’Souza Media,Documentary,"$1,465,512","159,815"
142,The Servant,"Mar 11, 2022",Rialto Pictures,Drama,"$1,417,550","154,585"
143,The Godfather,"Mar 15, 1972",Paramount Pictures,Drama,"$1,414,662","154,270"
144,Acharya,"Apr 28, 2022",Self Distributed,Action,"$1,412,000","153,980"
145,Medieval,"Sep 9, 2022",The Avenue Entert…,Action,"$1,374,325","149,871"
146,Rogue One: A Star Wars Story,"Dec 16, 2016",Walt Disney,Adventure,"$1,362,667","148,600"
147,Dune,"Oct 22, 2021",Warner Bros.,Action,"$1,151,687","125,592"
148,Fire of Love,"Jul 6, 2022",Neon,Documentary,"$1,064,080","116,039"
149,"Hallelujah: Leonard Cohen, …","Jul 1, 2022",Sony Pictures Cla…,Documentary,"$1,062,603","115,878"
150,Drishyam 2,"Nov 18, 2022",Yash Raj Films,Drama,"$1,050,000","114,503"
151,The Contractor,"Apr 1, 2022",Paramount Pictures,Thriller/Suspense,"$1,035,265","112,896"
152,After Ever Happy,"Sep 7, 2022",Netflix,Drama,"$989,088","107,861"
153,The Beatles Get Back: The R…,"Jan 30, 2022",Walt Disney,Concert/Perfor…,"$976,712","106,511"
154,Venom: Let There be Carnage,"Oct 1, 2021",Sony Pictures,Action,"$941,330","102,653"
155,Twenty One Pilots: Cinema E…,"May 19, 2022",Trafalgar Releasing,Concert/Perfor…,"$875,000","95,419"
156,Hansan: Rising Dragon,"Jul 29, 2022",Well Go USA,Action,"$865,888","94,426"
157,The Tiger Rising,"Jan 21, 2022",The Avenue Entert…,Drama,"$835,162","91,075"
158,Petite maman,"Apr 22, 2022",Neon,Drama,"$829,065","90,410"
159,Aftersun,"Oct 21, 2022",A24,Drama,"$790,994","86,258"
160,I Heard the Bells,"Dec 1, 2022",Fathom Events,Drama,"$767,012","83,643"
161,The Phantom of the Open,"Jun 3, 2022",Sony Pictures Cla…,Comedy,"$748,695","81,646"
162,Aline,"Nov 26, 2021",Roadside Attractions,Drama,"$667,815","72,826"
